,close,Company,Date
75159,57.34,VRSN,2015-02-03
75160,56.880001,VRSN,2015-02-04
75161,56.950001,VRSN,2015-02-05
75162,59.970001,VRSN,2015-02-06
75163,60.59,VRSN,2015-02-09
75164,60.880001,VRSN,2015-02-10
75165,60.98,VRSN,2015-02-11
75166,61.720001,VRSN,2015-02-12
75167,62.150002,VRSN,2015-02-13
75168,62.16,VRSN,2015-02-17
75169,62.599998,VRSN,2015-02-18
75170,63.52,VRSN,2015-02-19
75171,63.869999,VRSN,2015-02-20
75172,63.610001,VRSN,2015-02-23
75173,64.059998,VRSN,2015-02-24
75174,64.400002,VRSN,2015-02-25
75175,64.830002,VRSN,2015-02-26
75176,64.019997,VRSN,2015-02-27
75177,64.580002,VRSN,2015-03-02
75178,63.959999,VRSN,2015-03-03
75179,63.700001,VRSN,2015-03-04
75180,64.389999,VRSN,2015-03-05
75181,63.919998,VRSN,2015-03-06
75182,64.330002,VRSN,2015-03-09
75183,62.779999,VRSN,2015-03-10
75184,63.209999,VRSN,2015-03-11
75185,63.810001,VRSN,2015-03-12
75186,63.630001,VRSN,2015-03-13
75187,64.050003,VRSN,2015-03-16
75188,63.98,VRSN,2015-03-17
75189,64.989998,VRSN,2015-03-18
75190,64.269997,VRSN,2015-03-19
75191,64.75,VRSN,2015-03-20
75192,65.989998,VRSN,2015-03-23
75193,66.290001,VRSN,2015-03-24
75194,65.129997,VRSN,2015-03-25
75195,64.919998,VRSN,2015-03-26
75196,66.300003,VRSN,2015-03-27
75197,66.989998,VRSN,2015-03-30
75198,66.970001,VRSN,2015-03-31
75199,83.949997,VRSN,2016-01-04
75200,81.410004,VRSN,2016-01-05
75201,81.019997,VRSN,2016-01-06
75202,80.550003,VRSN,2016-01-07
75203,78.150002,VRSN,2016-01-08
75204,78.07,VRSN,2016-01-11
75205,79.290001,VRSN,2016-01-12
75206,76.089996,VRSN,2016-01-13
75207,75.650002,VRSN,2016-01-14
75208,74.25,VRSN,2016-01-15
75209,74.599998,VRSN,2016-01-19
75210,74.139999,VRSN,2016-01-20
75211,43.650002,VRTX,2013-01-02
75212,45.150002,VRTX,2013-01-03
75213,45.849998,VRTX,2013-01-04
75214,47.290001,VRTX,2013-01-07
75215,48.5,VRTX,2013-01-08
75216,48.25,VRTX,2013-01-09
75217,46.799999,VRTX,2013-01-10
75218,47.310001,VRTX,2013-01-11
75219,47.34,VRTX,2013-01-14
75220,47.080002,VRTX,2013-01-15
75221,46.450001,VRTX,2013-01-16
75222,46.790001,VRTX,2013-01-17
75223,46.310001,VRTX,2013-01-18
75224,47.07,VRTX,2013-01-22
75225,46.5,VRTX,2013-01-23
75226,47.32,VRTX,2013-01-24
75227,46.849998,VRTX,2013-01-25
75228,45.919998,VRTX,2013-01-28
75229,46.389999,VRTX,2013-01-29
